dtype,fmt,iter_idx,iter_kind,F_bytes,X_bytes,get_F_ms,get_X_ms,get_total_ms,decode_ms,compute_ms,total_ms
float32,npy,0,cold,36000128,6000128,50.515699898824096,12.526599923148751,48.27570007182658,10.505500016734004,12.842300115153193,71.62350020371377
float32,npy,1,warm,36000128,6000128,48.30610007047653,10.146899847313762,48.25160000473261,10.589099954813719,12.702400097623467,71.5431000571698
float32,npy,2,warm,36000128,6000128,59.16960001923144,8.821399882435799,59.467300074175,10.376199847087264,12.920399894937873,82.76389981620014
float32,arrow_ipc,0,cold,36000648,6000648,47.80429997481406,10.381799889728427,46.429899986833334,13.90289980918169,12.76659988798201,73.09939968399704
float32,arrow_ipc,1,warm,36000648,6000648,48.741999780759215,10.756699834018946,48.60249999910593,14.496400021016598,12.587500037625432,75.68640005774796
float32,arrow_ipc,2,warm,36000648,6000648,65.94840018078685,9.629900101572275,65.87269995361567,14.068300137296319,13.764600036665797,93.70560012757778
float32,parquet,0,cold,50309272,8385012,62.47090012766421,17.02059991657734,60.9896001406014,168.52469998411834,13.210400007665157,242.7247001323849
float32,parquet,1,warm,50309272,8385012,62.663199845701456,20.732100121676922,62.225099885836244,121.0288000293076,12.861700030043721,196.11559994518757
float32,parquet,2,warm,50309272,8385012,67.36800004728138,10.83349995315075,67.1324001159519,117.42280004546046,12.185799889266491,196.74100005067885
float64,npy,0,cold,72000128,12000128,112.4263999518007,17.603700049221516,109.82239991426468,20.919400034472346,29.252300038933754,159.99409998767078
float64,npy,1,warm,72000128,12000128,104.88630016334355,18.133899895474315,105.72910006158054,18.86519999243319,25.62849991954863,150.22279997356236
float64,npy,2,warm,72000128,12000128,92.70089981146157,19.471799954771996,94.63070007041097,19.14189988747239,24.83729994855821,138.60989990644157
float64,arrow_ipc,0,cold,72000648,12000648,120.84440002217889,35.13080021366477,119.3212999496609,26.729200035333633,26.284599909558892,172.33509989455342
float64,arrow_ipc,1,warm,72000648,12000648,113.97340008988976,17.624700209125876,114.8083999287337,27.499699965119362,25.454199872910976,167.76229976676404
float64,arrow_ipc,2,warm,72000648,12000648,101.13739990629256,34.19120004400611,103.27050019986928,28.492100071161985,30.42859979905188,162.19120007008314
float64,parquet,0,cold,86409152,14401650,133.67799995467067,39.978699991479516,131.9343000650406,129.53600008040667,28.825500048696995,290.29580019414425
float64,parquet,1,warm,86409152,14401650,121.45150010474026,17.869099974632263,122.86409991793334,134.76080005057156,23.892899975180626,281.51779994368553
float64,parquet,2,warm,86409152,14401650,116.25199997797608,19.985900027677417,119.82450005598366,134.2075001448393,24.44029995240271,278.47230015322566
