K,P,dtype,mode,p50_ms,gflops,bytes_touched,gb_per_s
3000,100,float32,batched,3.2746000215411186,549.6854541498689,38400000,11.726623021863869
3000,100,float32,loop,39.845600025728345,45.17437305092,38400000,0.9637199584196268
3000,500,float32,batched,13.637199997901917,659.9595225841559,48000000,3.519784120448831
3000,500,float32,loop,205.70200006477535,43.752612989498935,48000000,0.23334726927732763
3000,1000,float32,batched,24.4959001429379,734.816842613124,60000000,2.44938947537708
3000,1000,float32,loop,414.14069989696145,43.463489592977496,60000000,0.1448782986432583
3000,5000,float32,batched,131.85029989108443,682.5923041081054,156000000,1.1831599937873827
3000,5000,float32,loop,2514.2637998797,35.79576653981425,156000000,0.062045995335678034
3000,100,float64,batched,6.842399947345257,263.0655930450794,76800000,11.224131969923388
3000,100,float64,loop,158.18229992873967,11.379275688941753,76800000,0.4855157627281814
3000,500,float64,batched,26.227799942716956,343.1473482204579,96000000,3.660238381018217
3000,500,float64,loop,803.4843001514673,11.201214508240401,96000000,0.11947962142123093
3000,1000,float64,batched,57.400699937716126,313.58502630684455,120000000,2.09056684204563
3000,1000,float64,loop,1575.589699903503,11.424294028516693,120000000,0.07616196019011129
3000,5000,float64,batched,295.0491001829505,305.0339755118517,312000000,1.0574511151077526
3000,5000,float64,loop,8460.25349991396,10.637979110308606,312000000,0.03687832758240318
