n,w,scenario,mode,iter_idx,elapsed_s,cache_kind,cache_hits,cache_misses
1000,104,minio-real,full-stream,0,3.657785600051284,cold,0,104
1000,104,minio-real,full-stream,1,0.12119810003787279,warm,104,0
1000,104,minio-real,full-stream,2,0.11896730004809797,warm,104,0
1000,104,minio-real,full-bulk,0,0.9640082998666912,cold,0,104
1000,104,minio-real,full-bulk,1,0.08760219998657703,warm,104,0
1000,104,minio-real,full-bulk,2,0.08741079992614686,warm,104,0
1000,104,minio-real,approx-bulk-k=30,0,0.49230959988199174,cold,0,208
1000,104,minio-real,approx-bulk-k=30,1,0.016535900067538023,warm,208,0
1000,104,minio-real,approx-bulk-k=30,2,0.016396600054576993,warm,208,0
