n,w,scenario,mode,iter_idx,elapsed_s,cache_kind,cache_hits,cache_misses
1000,104,minio-real,full-stream,0,3.4915074000600725,cold,0,104
1000,104,minio-real,full-stream,1,0.12107890006154776,warm,104,0
1000,104,minio-real,full-stream,2,0.1224167998880148,warm,104,0
1000,104,minio-real,full-bulk,0,0.08990639983676374,cold,104,0
1000,104,minio-real,full-bulk,1,0.0884634000249207,warm,104,0
1000,104,minio-real,full-bulk,2,0.08892290014773607,warm,104,0
1000,104,minio-real,approx-bulk-k=30,0,0.49731909995898604,cold,0,208
1000,104,minio-real,approx-bulk-k=30,1,0.016468500019982457,warm,208,0
1000,104,minio-real,approx-bulk-k=30,2,0.01688880007714033,warm,208,0
