n,w,scenario,p50_ms,throughput_mbps,mode,iter_idx,elapsed_s,fetches,bytes_fetched_mb,network_seconds
1000,104,baseline-numpy,0,0,full,0,0.01214330003131181,0,0,0
1000,104,baseline-numpy,0,0,full,1,0.012281499919481575,0,0,0
1000,104,baseline-numpy,0,0,approx-k=30,2,0.0043200000654906034,0,0,0
1000,104,baseline-numpy,0,0,approx-k=30,3,0.004313399898819625,0,0,0
1000,104,zarr-local,0.0,0,full-stream,0,0.33917110005859286,104,396.728515625,0.0
1000,104,zarr-local,0.0,0,full-stream,1,0.34774320002179593,104,396.728515625,0.0
1000,104,zarr-local,0.0,0,full-bulk,0,0.2222408999223262,104,396.728515625,0.0
1000,104,zarr-local,0.0,0,full-bulk,1,0.22080499993171543,104,396.728515625,0.0
1000,104,zarr-local,0.0,0,approx-bulk-k=30,0,0.05643989995587617,208,39.7125244140625,0.0
1000,104,zarr-local,0.0,0,approx-bulk-k=30,1,0.05591270001605153,208,39.7125244140625,0.0
1000,104,zarr-minio_lh,0.5,10000,full-stream,0,3.3081569999922067,104,396.728515625,0.3693828125
1000,104,zarr-minio_lh,0.5,10000,full-stream,1,3.3372123000444844,104,396.728515625,0.3693828125
1000,104,zarr-minio_lh,0.5,10000,full-bulk,0,0.2658914999337867,104,396.728515625,0.3693828125
1000,104,zarr-minio_lh,0.5,10000,full-bulk,1,0.28968669997993857,104,396.728515625,0.3693828125
1000,104,zarr-minio_lh,0.5,10000,approx-bulk-k=30,0,0.11299409996718168,208,39.7125244140625,0.13577001953124962
1000,104,zarr-minio_lh,0.5,10000,approx-bulk-k=30,1,0.09007220005150884,208,39.7125244140625,0.13577001953124962
1000,104,zarr-aws_inreg,5.0,5000,full-stream,0,3.4989366000518203,104,396.728515625,1.154765624999999
1000,104,zarr-aws_inreg,5.0,5000,full-stream,1,3.5351503000129014,104,396.728515625,1.154765624999999
1000,104,zarr-aws_inreg,5.0,5000,full-bulk,0,0.2684672001050785,104,396.728515625,1.154765624999999
1000,104,zarr-aws_inreg,5.0,5000,full-bulk,1,0.2806083000032231,104,396.728515625,1.154765624999999
1000,104,zarr-aws_inreg,5.0,5000,approx-bulk-k=30,0,0.11699509993195534,208,39.7125244140625,1.103540039062502
1000,104,zarr-aws_inreg,5.0,5000,approx-bulk-k=30,1,0.12247070006560534,208,39.7125244140625,1.103540039062502
1000,104,zarr-aws_xreg,80.0,500,full-stream,0,16.755588799947873,104,396.728515625,14.667656250000006
1000,104,zarr-aws_xreg,80.0,500,full-stream,1,16.49158869998064,104,396.728515625,14.667656250000006
1000,104,zarr-aws_xreg,80.0,500,full-bulk,0,1.9444885000120848,104,396.728515625,14.667656250000006
1000,104,zarr-aws_xreg,80.0,500,full-bulk,1,1.848100300063379,104,396.728515625,14.667656250000006
1000,104,zarr-aws_xreg,80.0,500,approx-bulk-k=30,0,2.43371000001207,208,39.7125244140625,17.275400390625048
1000,104,zarr-aws_xreg,80.0,500,approx-bulk-k=30,1,2.3939294000156224,208,39.7125244140625,17.275400390625048
