n,w,scenario,mode,iter_idx,elapsed_s,cache_kind,cache_hits,cache_misses
4000,104,minio-real,full-stream,0,27.49138449993916,cold,0,104
4000,104,minio-real,full-stream,1,2.862933900090866,warm,104,0
4000,104,minio-real,full-stream,2,2.4289743000408635,warm,104,0
4000,104,minio-real,full-bulk,0,30.64697340002749,cold,0,104
4000,104,minio-real,full-bulk,1,15.542674899916165,warm,104,0
4000,104,minio-real,full-bulk,2,9.3889248999767,warm,104,0
4000,104,minio-real,approx-bulk-k=30,0,1.337893299991265,cold,0,208
4000,104,minio-real,approx-bulk-k=30,1,0.053544400027021766,warm,208,0
4000,104,minio-real,approx-bulk-k=30,2,0.056843899888917804,warm,208,0
