n,w,mode,iter_idx,elapsed_ms,vol_first,vol_last,vol_norm,max_rel_err,rss_mb
500,104,full,0,4.057600046508014,9.256271362304688,9.269308090209961,94.3998031616211,-1.0,0.0
500,104,full,1,3.803499974310398,9.256271362304688,9.269308090209961,94.3998031616211,-1.0,0.0
500,104,full,2,3.892799955792725,9.256271362304688,9.269308090209961,94.3998031616211,-1.0,0.0
500,104,full,3,3.741699969395995,9.256271362304688,9.269308090209961,94.3998031616211,-1.0,0.0
500,104,full,4,3.7274000933393836,9.256271362304688,9.269308090209961,94.3998031616211,-1.0,0.0
500,104,approx-shared-k=30,0,0.030499999411404133,9.256271751371491,9.256271751371491,94.3958205667218,0.018782949436768153,0.0
500,104,approx-shared-k=30,1,0.030700000934302807,9.256271751371491,9.256271751371491,94.3958205667218,0.018782949436768153,0.0
500,104,approx-shared-k=30,2,0.03190001007169485,9.256271751371491,9.256271751371491,94.3958205667218,0.018782949436768153,0.0
500,104,approx-shared-k=30,3,0.02859998494386673,9.256271751371491,9.256271751371491,94.3958205667218,0.018782949436768153,0.0
500,104,approx-shared-k=30,4,0.02680008765310049,9.256271751371491,9.256271751371491,94.3958205667218,0.018782949436768153,0.0
500,104,approx-eig-k=10,0,1.8808000022545457,5.664089202880859,5.6235151290893555,57.88330841064453,0.4096204936504364,0.0
500,104,approx-eig-k=10,1,1.765000051818788,5.664089202880859,5.6235151290893555,57.88330841064453,0.4096204936504364,0.0
500,104,approx-eig-k=10,2,1.7140998970717192,5.664089202880859,5.6235151290893555,57.88330841064453,0.4096204936504364,0.0
500,104,approx-eig-k=10,3,1.7108999891206622,5.664089202880859,5.6235151290893555,57.88330841064453,0.4096204936504364,0.0
500,104,approx-eig-k=10,4,1.702000037766993,5.664089202880859,5.6235151290893555,57.88330841064453,0.4096204936504364,0.0
500,104,approx-eig-k=30,0,2.3597999243065715,9.254250526428223,9.267234802246094,94.37914276123047,0.00024172621488105506,0.0
500,104,approx-eig-k=30,1,2.77639995329082,9.254250526428223,9.267234802246094,94.37914276123047,0.00024172621488105506,0.0
500,104,approx-eig-k=30,2,2.916600089520216,9.254250526428223,9.267234802246094,94.37914276123047,0.00024172621488105506,0.0
500,104,approx-eig-k=30,3,2.329800045117736,9.254250526428223,9.267234802246094,94.37914276123047,0.00024172621488105506,0.0
500,104,approx-eig-k=30,4,2.391600050032139,9.254250526428223,9.267234802246094,94.37914276123047,0.00024172621488105506,0.0
500,104,approx-eig-k=50,0,3.192499978467822,9.254388809204102,9.267373085021973,94.38065338134766,0.00022663782874587923,0.0
500,104,approx-eig-k=50,1,3.3801000099629164,9.254388809204102,9.267373085021973,94.38065338134766,0.00022663782874587923,0.0
500,104,approx-eig-k=50,2,3.206999972462654,9.254388809204102,9.267373085021973,94.38065338134766,0.00022663782874587923,0.0
500,104,approx-eig-k=50,3,3.2073999755084515,9.254388809204102,9.267373085021973,94.38065338134766,0.00022663782874587923,0.0
500,104,approx-eig-k=50,4,3.178100101649761,9.254388809204102,9.267373085021973,94.38065338134766,0.00022663782874587923,0.0
500,104,approx-eig-k=100,0,5.21530001424253,9.254709243774414,9.267646789550781,94.38375091552734,0.0001969148579519242,0.0
500,104,approx-eig-k=100,1,5.333000095561147,9.254709243774414,9.267646789550781,94.38375091552734,0.0001969148579519242,0.0
500,104,approx-eig-k=100,2,5.341399926692247,9.254709243774414,9.267646789550781,94.38375091552734,0.0001969148579519242,0.0
500,104,approx-eig-k=100,3,5.6232999777421355,9.254709243774414,9.267646789550781,94.38375091552734,0.0001969148579519242,0.0
500,104,approx-eig-k=100,4,5.360599956475198,9.254709243774414,9.267646789550781,94.38375091552734,0.0001969148579519242,0.0
1000,104,full,0,12.240100069902837,7.930357933044434,7.934309482574463,80.97907257080078,-1.0,0.0
1000,104,full,1,12.071000062860548,7.930357933044434,7.934309482574463,80.97907257080078,-1.0,0.0
1000,104,full,2,12.115599936805665,7.930357933044434,7.934309482574463,80.97907257080078,-1.0,0.0
1000,104,full,3,12.071500066667795,7.930357933044434,7.934309482574463,80.97907257080078,-1.0,0.0
1000,104,full,4,12.019700021483004,7.930357933044434,7.934309482574463,80.97907257080078,-1.0,0.0
1000,104,approx-shared-k=30,0,0.02719997428357601,7.9303575801075405,7.9303575801075405,80.87409610147361,0.030874304864870642,0.0
1000,104,approx-shared-k=30,1,0.02310005947947502,7.9303575801075405,7.9303575801075405,80.87409610147361,0.030874304864870642,0.0
1000,104,approx-shared-k=30,2,0.01950003206729889,7.9303575801075405,7.9303575801075405,80.87409610147361,0.030874304864870642,0.0
1000,104,approx-shared-k=30,3,0.02029992174357176,7.9303575801075405,7.9303575801075405,80.87409610147361,0.030874304864870642,0.0
1000,104,approx-shared-k=30,4,0.02080004196614027,7.9303575801075405,7.9303575801075405,80.87409610147361,0.030874304864870642,0.0
1000,104,approx-eig-k=10,0,2.7878000400960445,5.905750751495361,5.984170436859131,60.37345886230469,0.2867482602596283,0.0
1000,104,approx-eig-k=10,1,2.581500099040568,5.905750751495361,5.984170436859131,60.37345886230469,0.2867482602596283,0.0
1000,104,approx-eig-k=10,2,2.567899995483458,5.905750751495361,5.984170436859131,60.37345886230469,0.2867482602596283,0.0
1000,104,approx-eig-k=10,3,2.458999981172383,5.905750751495361,5.984170436859131,60.37345886230469,0.2867482602596283,0.0
1000,104,approx-eig-k=10,4,2.722300007008016,5.905750751495361,5.984170436859131,60.37345886230469,0.2867482602596283,0.0
1000,104,approx-eig-k=30,0,4.231199971400201,7.926953315734863,7.9308881759643555,80.94434356689453,0.0004665572487283498,0.0
